question,prompt_used,target_answer,predicted_answer,is_correct,latency_ms,subject,emotion
"Positronium is an atom formed by an electron and a positron (antielectron). It is similar to the hydrogen atom, with the positron replacing the proton. If a positronium atom makes a transition from the state with n=3 to a state with n=1, the energy of the photon emitted in this transition is closest to","Question: Positronium is an atom formed by an electron and a positron (antielectron). It is similar to the hydrogen atom, with the positron replacing the proton. If a positronium atom makes a transition from the state with n=3 to a state with n=1, the energy of the photon emitted in this transition is closest to

Options:
A. 6.0 e
B. 6.8 eV
C. 12.2 eV
D. 13.6 eV

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,To solve,False,9307.44,college_physics,original
The regional lymphatic drainage of the left side of the tip of the tongue is to the,"Question: The regional lymphatic drainage of the left side of the tip of the tongue is to the

Options:
A. left submental lymph node.
B. left and right submental lymph nodes.
C. left submandibular lymph node.
D. left and right submandibular lymph nodes.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,B.,True,4980.46,anatomy,original
"A school board of a large school district is proposing a new dress code for students. Some students feel that this dress code unfairly targets female students. To see if there is a difference between boys and girls in their opposition to the new dress code, they conduct a poll of 60 randomly selected male and 70 randomly selected female high school students in the district. They find that 66 females oppose the dress code and 50 males oppose the dress code. Which of the following explains why a two-proportion z-test is not appropriate?","Question: A school board of a large school district is proposing a new dress code for students. Some students feel that this dress code unfairly targets female students. To see if there is a difference between boys and girls in their opposition to the new dress code, they conduct a poll of 60 randomly selected male and 70 randomly selected female high school students in the district. They find that 66 females oppose the dress code and 50 males oppose the dress code. Which of the following explains why a two-proportion z-test is not appropriate?

Options:
A. The sample sizes are different.
B. The sample sizes are too large.
C. The number of successes and the number of failures for the two groups are not all large enough.
D. The shapes of the population distributions are not known.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,C,True,10076.69,high_school_statistics,original
What rank entitles a general in the US Army to wear three stars?,"Question: What rank entitles a general in the US Army to wear three stars?

Options:
A. brigadier general
B. corporal general
C. lieutenant general
D. major general

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,D.,False,3905.17,miscellaneous,original
What was NOT a deciding factor in the development of Mesopotamian civilization?,"Question: What was NOT a deciding factor in the development of Mesopotamian civilization?

Options:
A. the need to concentrate population away from arable lands near rivers
B. the need to construct monumental works, such as step-pyramids and temples
C. the need to develop a complex social system that would allow the construction of canals
D. the use of irrigation to produce enough food

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,B,False,6664.15,prehistory,original
To what extent have biological agents been weaponized?,"Question: To what extent have biological agents been weaponized?

Options:
A. Military professionals believe that the majority of biological agents can be sufficiently stable in their effects to be used as a weapon. Resource requirements would be minimal as fermenters used to make vaccines could be converted for military production and relatively small quantities of the agent are required to produce highly lethal effects, making them an efficient and effective weapon.
B. Construction of the means to transmit biological weapons in warfare has focused on the use of vectors, for example lice, fleas, or mosquitoes, as a mode of transmission as a military weapon. These are favoured because the target would find it difficult to contain the source of the outbreak, placing the infrastructure of the target country under strain.
C. Biological agents comprise bacteria, viral, and toxin agents. However, not every disease provides the basis for an effective biological weapon. An agent's storage, delivery, mode of transmission and its very resilience can shape its effects on a target population.
D. Inoculation programs against naturally occurring disease have eradicated the potential for viral agents to cause a global pandemic. Vaccination capabilities have undermined calls for the weaponization of viral agents made by some military strategists as most public health authorities have in place programs to deal with a possible outbreak.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,A,False,21100.59,security_studies,original
"In the atomic nucleus, electrical forces tend to","Question: In the atomic nucleus, electrical forces tend to

Options:
A. hold particles together
B. push particles apart
C. produce orbital motion
D. charge particles

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,A.,False,4891.14,conceptual_physics,original
Which of the following is not part of the external marketing environment?,"Question: Which of the following is not part of the external marketing environment?

Options:
A. Political.
B. Legal.
C. Product.
D. Socio-cultural.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,C.,True,4174.21,marketing,original
"On January 1, a seller entered into an agreement of sale to convey his farm to a buyer. According to the contract, settlement (or closing) was to take place on March 1 of the same year. On January 20, a barn on the property was destroyed by fire. When the buyer was notified of the loss the following day, he contacted the seller and told him that the deal was off because of the fire. As a result, the buyer filed suit against the seller on January 25 for a refund of his down payment of $5,000. In his suit, the buyer will be unsuccessful and will be obliged to complete the contract if the court determines that on January 20","Question: On January 1, a seller entered into an agreement of sale to convey his farm to a buyer. According to the contract, settlement (or closing) was to take place on March 1 of the same year. On January 20, a barn on the property was destroyed by fire. When the buyer was notified of the loss the following day, he contacted the seller and told him that the deal was off because of the fire. As a result, the buyer filed suit against the seller on January 25 for a refund of his down payment of $5,000. In his suit, the buyer will be unsuccessful and will be obliged to complete the contract if the court determines that on January 20

Options:
A. the buyer held the legal title to the farm.
B. the seller held the legal title to the farm.
C. the buyer held the equitable title to the farm.
D. the seller held the equitable title to the farm.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,B.,False,18109.64,professional_law,original
The focus of liberal feminists on equality is denounced by radical feminists as mistaken because:,"Question: The focus of liberal feminists on equality is denounced by radical feminists as mistaken because:

Options:
A. It treats women as objects.
B. It makes women into men.
C. It reduces feminism to a political movement.
D. It overlooks the historical struggle of women for justice.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,D,False,4919.74,jurisprudence,original
